Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1984-1613,SCM - Textiles Machinery,lock stitch sewing machine,"Jones' lock stitch hand sewing machine in its original box with handbook, c. 1895.","lock stitch sewing machine: Jones' lock stitch hand sewing machine in its original box with handbook, c. 1895.",Jones Sewing Machine Company,"Audenshaw, Tameside, Greater Manchester, England, United Kingdom",1895,cast iron; mild steel,overall: 255 x 210 x 400 mm,Jones' lock stitch hand sewing machine in its original box w
1984-1631,SCM - Textiles Machinery,textile dyes,"Silk purple dress, dyed with Perkin's aniline purple dye, c. 1870-1873","textile dyes: Silk purple dress, dyed with Perkin's aniline purple dye, c. 1870-1873",,,,,,"Silk purple dress, dyed with Perkin's aniline purp"
1984-1647,SCM - Textiles Machinery,flat bed knitting machine,"Harrison type HNR industrial flat bed knitting machine, with cast iron stand.","flat bed knitting machine: Harrison type HNR industrial flat bed knitting machine, with cast iron stand.",Harrison Knitting and Textile Machinery Company Ltd.,"Manchester, Manchester urban district, Greater Manchester, England, United Kingdom",,cast iron; steel; wood,"overall: 1.65 m x 1.27 m x .6 m, 101kg; overall, inc pallet: 121kg",Harrison type HNR industrial flat bed knitting mac
1984-1647/1,SCM - Textiles Machinery,,Flat bed knitting machine.,: Flat bed knitting machine.,,,,,,Flat bed knitting machine.
1984-1647/2,SCM - Textiles Machinery,,Parts of the knitting machine; a weight holder and one weight;a weight similar to a handle;needle holder marked 36/46; a needle holder marked 32/42;a needle holder marked 17; several devices stamped 'B'and several stamped'F'; three wire guides; numerous needles; aribbing attachment plate; acasting on plate marked '7  6 recorda'; a needle plate.,: Parts of the knitting machine; a weight holder and one weight;a weight similar to a handle;needle holder marked 36/46; a needle holder marked 32/42;a needle holder marked 17; several devices stamped 'B'and several stamped'F'; three wire guides; numerous needles; aribbing attachment plate; acasting on plate marked '7  6 recorda'; a needle plate.,,,,,,Parts of the knitting machine; a weight holder and
1984-1647/2/1,SCM - Textiles Machinery,needle plate; knitting machine,"Needle plate embossed with ë7í, ë6í and ëREKORDAIí or ëREKORDALí. Rectangular form with needles with eyes along one side.","needle plate; knitting machine: Needle plate embossed with ë7í, ë6í and ëREKORDAIí or ëREKORDALí. Rectangular form with needles with eyes along one side.",,,,metal (unknown),,Needle plate for knitting machine
1984-1647/2/2,SCM - Textiles Machinery,knitting machine; part; attachment,"Ribbing attachment plate
Plate with tooth or crenelation style edges, two different thicknesses on either side. Hole on one end of plate.","knitting machine; part; attachment: Ribbing attachment plate
Plate with tooth or crenelation style edges, two different thicknesses on either side. Hole on one end of plate.",,,,metal (unknown),,Ribbing attachment plate
1984-1647/2/3,SCM - Textiles Machinery,knitting machine; part,"Casting on plate
Metal plate with rounded edge, one side has needles/hoops. Metal used has irregular, bumpy surface.","knitting machine; part: Casting on plate
Metal plate with rounded edge, one side has needles/hoops. Metal used has irregular, bumpy surface.",,,,metal (unknown),,Casting on plate
1984-1647/2/4,SCM - Textiles Machinery,knitting machine; part,"Knitting machine part
Embossed with ë7 ñ 8í and ë85í","knitting machine; part: Knitting machine part
Embossed with ë7 ñ 8í and ë85í",,,,metal (unknown),,Knitting machine part
1984-1647/2/5,SCM - Textiles Machinery,knitting machine; part,"Knitting machine part
Embossed with ë7 ñ 8í and ë8[illegible]í","knitting machine; part: Knitting machine part
Embossed with ë7 ñ 8í and ë8[illegible]í",,,,metal (unknown),,Knitting machine part
1984-1647/2/6,SCM - Textiles Machinery,wire guides; knitting machine,"Three wire guides for knitting machine. One wire guide attached to a dial, second wire guide with one rounded (circular shaped) end and one end attached to plastic part. Third wire guide with one rounded (circular shaped) end and one pointed end.","wire guides; knitting machine: Three wire guides for knitting machine. One wire guide attached to a dial, second wire guide with one rounded (circular shaped) end and one end attached to plastic part. Third wire guide with one rounded (circular shaped) end and one pointed end.",,,,plastic (unidentified); plastic (unidentified),,Wire guides for knitting machine
1984-1647/2/7,SCM - Textiles Machinery,knitting machine parts; wire,"Wire knitting machine parts
Two arch shaped wires with hooked ends, for knitting machine.","knitting machine parts; wire: Wire knitting machine parts
Two arch shaped wires with hooked ends, for knitting machine.",,,,metal (unknown),,Wire knitting machine parts
1984-1647/2/8,SCM - Textiles Machinery,knitting machine part; part,"Knitting machine part
Rod-like part with curve on one end.","knitting machine part; part: Knitting machine part
Rod-like part with curve on one end.",,,,metal (unknown),,Knitting machine part
1984-1647/2/9,SCM - Textiles Machinery,weight holder; weight,"Weight holder with circular base to place weight, and hook.","weight holder; weight: Weight holder with circular base to place weight, and hook.",,,,metal (unknown),,Weight holder
1984-1647/2/10,SCM - Textiles Machinery,weight holder; weight,"Weight holder with one weight. 
Hook with circular base on which a weight sits. Weight is circular with slit with which to slide onto the weight holder.","weight holder; weight: Weight holder with one weight. 
Hook with circular base on which a weight sits. Weight is circular with slit with which to slide onto the weight holder.",,,,metal (unknown),,Weight holder and weight
1984-1647/2/11,SCM - Textiles Machinery,needles,"Numerous needles.
Numerous needles for knitting machine, hook on distal end of each needle.","needles: Numerous needles.
Numerous needles for knitting machine, hook on distal end of each needle.",,,,metal (unknown),,Knitting machine needles
1984-1647/2/12,SCM - Textiles Machinery,needle holder; handle; knitting machine,"Three needle holders including: needle holder marked 36/46; a needle holder marked 32/42; a needle holder marked 17. Wooden bulb shaped handle, and part embossed with number: ë025527í with elongated hole.","needle holder; handle; knitting machine: Three needle holders including: needle holder marked 36/46; a needle holder marked 32/42; a needle holder marked 17. Wooden bulb shaped handle, and part embossed with number: ë025527í with elongated hole.",,,,wood (unidentified); metal (unknown),,Needle holders and knitting machine parts
1984-1647/2/13,SCM - Textiles Machinery,yarn,"Red coloured yarn, possibly wool, on conical spool.","yarn: Red coloured yarn, possibly wool, on conical spool.",,,,textile; cardboard,,Spool of yarn
1984-1690,SCM - Textiles Machinery,Carding,One hand cranked carding machine for re-conditioning horse hair by Saunders of Bournemouth,Carding: One hand cranked carding machine for re-conditioning horse hair by Saunders of Bournemouth,Saunders,"Bournemouth, Bournemouth, England, United Kingdom",,,,One hand cranked carding machine for re-conditioni
1984-1690/1,SCM - Textiles Machinery,Carding machine,Hand cranked carding machine,Carding machine: Hand cranked carding machine,,,,,,Hand cranked carding machine
1984-1690/2,SCM - Textiles Machinery,carding machine,Feed table,carding machine: Feed table,,,,,,Feed table
1984-1690/3,SCM - Textiles Machinery,Carding machine,"Components for assembling unit, viz rods, plate and bolt","Carding machine: Components for assembling unit, viz rods, plate and bolt",,,,,,"Components for assembling unit, viz rods, plate an"
1984-1742,SCM - Textiles Machinery,hand loom,Large plain hand loom for weaving coarse coconut matting,hand loom: Large plain hand loom for weaving coarse coconut matting,,,,,,Large plain hand loom for weaving coarse coconut m
1985-75,SCM - Textiles Machinery,flat bed knitting machine,"Record flat bed knitting machine with specification, and instruction book for pattern knitting, c. 1953","flat bed knitting machine: Record flat bed knitting machine with specification, and instruction book for pattern knitting, c. 1953",Record Hand Knitting Machines,"London, Greater London, England, United Kingdom",,folded sheet steel; mild steel; case hardened steel,overall: 100 x 1030 x 180 mm,Record flat bed knitting machine with specificatio
1985-431,SCM - Textiles Machinery,lock stitch sewing machine,"Bradbury lock stitch rotary shuttle treadle-operated sewing machine, model B2 of 1882 with table, treadle, machine lid, catalogue and some accessories.  Patented 1880","lock stitch sewing machine: Bradbury lock stitch rotary shuttle treadle-operated sewing machine, model B2 of 1882 with table, treadle, machine lid, catalogue and some accessories.  Patented 1880",Bradbury and Company Ltd.,"Oldham, Oldham borough, Greater Manchester, England, United Kingdom",1882,cast iron; steel; wood,overall: 1010 x 850 x 450 mm,Bradbury lock stitch rotary shuttle treadle-operated sewing 
1985-847,SCM - Textiles Machinery,flat bed knitting machine,"Record flat bed knitting machine in box, with specification and instruction book for pattern knitting.","flat bed knitting machine: Record flat bed knitting machine in box, with specification and instruction book for pattern knitting.",Record Hand Knitting Machines,"London, Greater London, England, United Kingdom",1954,,,"Record flat bed knitting machine in box, with spec"
1985-847/1,SCM - Textiles Machinery,flat bed knitting machine,"Record hand knitter no. E24648, in box purchased Messrs Nicholson Ltd, St. Pauls Yard, London 8.11.54","flat bed knitting machine: Record hand knitter no. E24648, in box purchased Messrs Nicholson Ltd, St. Pauls Yard, London 8.11.54",Record Hand Knitting Machines,"London, Greater London, England, United Kingdom",,machined sheet steel; hardened steel,overall: 100 x 1030 x 180 mm,"Record hand knitter no. E24648, in box purchased M"
1985-848,SCM - Textiles Machinery,hand loom,"Table loom with two heddles, three separate parts (rug making loom), made by Rugmaster Ltd., c. 1960?","hand loom: Table loom with two heddles, three separate parts (rug making loom), made by Rugmaster Ltd., c. 1960?",Rugmaster Ltd. (maker),,1960,,,"Table loom with two heddles, three separate parts "
1985-848/1,SCM - Textiles Machinery,hand loom,"Table loom with two heddles, three separate parts (rug making loom), made by Rugmaster Ltd., c. 1960?","hand loom: Table loom with two heddles, three separate parts (rug making loom), made by Rugmaster Ltd., c. 1960?",Rugmaster Ltd. (maker),,1960,,,"Table loom with two heddles, three separate parts "
1985-848/2,SCM - Textiles Machinery,hand loom part,"Part from table loom, made by Rugmaster Ltd., c. 1960?","hand loom part: Part from table loom, made by Rugmaster Ltd., c. 1960?",Rugmaster Ltd. (maker),,1960,,,Table loom part
1985-852,SCM - Textiles Machinery,lock stitch sewing machine,"Vibrating shuttle lockstitch Frister and Rossmann Sewing Machine with treadle, c. 1932, complete with accessories of hemmer, tucker and ruffler, etc., in a painted tin box.","lock stitch sewing machine: Vibrating shuttle lockstitch Frister and Rossmann Sewing Machine with treadle, c. 1932, complete with accessories of hemmer, tucker and ruffler, etc., in a painted tin box.",Frister & Rossmann,Germany,1932,cast iron; wood; gold leaf,overall: 1030 x 590 x 440 mm,Vibrating shuttle lockstitch Frister and Rossmann Sewing Mac
1985-1259,SCM - Textiles Machinery,textile testing,Fabric milling machine by John E.P. FURNESS (pat 571795) for laboratory use,textile testing: Fabric milling machine by John E.P. FURNESS (pat 571795) for laboratory use,,,,,,Fabric milling machine by John E.P. FURNESS (pat 5
1985-1260,SCM - Textiles Machinery,textile testing,"Fabric, tensile testing machine by Goodbrand and Co.","textile testing: Fabric, tensile testing machine by Goodbrand and Co.",Goodbrand and Company Limited (maker),,,,,"Fabric, tensile testing machine by Goodbrand and C"
1985-1499,SCM - Textiles Machinery,nylon rope,"4 ft sample of 30"" circumference Braidline nylon rope (with whipped ends),the largest man made fibre rope made up to 1983.","nylon rope: 4 ft sample of 30"" circumference Braidline nylon rope (with whipped ends),the largest man made fibre rope made up to 1983.",Bridon Fibres and Plastics,"Doncaster, South Yorkshire, England, United Kingdom",1983,nylon; wood,overall (mounted on board): 280 x 450 x 1200 mm,"4 ft sample of 30"" circumference Braidline nylon r"
1985-1539,SCM - Textiles Machinery,flat bed knitting machine,"Passap M 201 flat bed domestic knitting machine, c. 1950; complete with accessories and operating instructions.","flat bed knitting machine: Passap M 201 flat bed domestic knitting machine, c. 1950; complete with accessories and operating instructions.",Passap (maker),Switzerland,1950,,overall: 170 x 1010 x 200 mm,"Passap M 201 flat bed domestic knitting machine, c"
1985-2172,SCM - Textiles Machinery,overlocker sewing machine,"Willcox and Gibbs overlocker sewing machine, double chain stitch type, treadle operated, complete with instruction manual, c. 1920","overlocker sewing machine: Willcox and Gibbs overlocker sewing machine, double chain stitch type, treadle operated, complete with instruction manual, c. 1920",Willcox and Gibbs Sewing Machine Company; Brown and Sharpe Manufacturing Company,,1920,cast iron; wood; cast steel; steel,overall (incl. treadle table): 930 x 840 x 430 mm,"Willcox and Gibbs overlocker sewing machine, double chain st"
1985-2281,SCM - Textiles Machinery,extensometer,"Cambridge Textile Extensometer testing machine (used at Consumers Association test laboratory). Manufactured at Chesterton Road Works, Cambridge, c. 1960","extensometer: Cambridge Textile Extensometer testing machine (used at Consumers Association test laboratory). Manufactured at Chesterton Road Works, Cambridge, c. 1960",,,1960,,,Cambridge Textile Extensometer testing machine (us
1985-2281/1,SCM - Textiles Machinery,extensometer,Textile Extensometer Testing Machine,extensometer: Textile Extensometer Testing Machine,,,,,,Textile Extensometer Testing Machine
1985-2281/2,SCM - Textiles Machinery,,"Box of parts, spare electronic valve",": Box of parts, spare electronic valve",,,,,,"Box of parts, spare electronic valve"
1985-2288,SCM - Textiles Machinery,knot tying,"Hand knot-tying machines: 2 DO6, type B, 2 Fisherman's, type 422, 2 Weaver's, type A, 1 Weaver's, type C","knot tying: Hand knot-tying machines: 2 DO6, type B, 2 Fisherman's, type 422, 2 Weaver's, type A, 1 Weaver's, type C",,,,,,"Hand knot-tying machines: 2 DO6, type B, 2 Fisherman's, type 422, 2 Weaver's, type A, 1 Weaver's, type C"
1986-159,SCM - Textiles Machinery,linen - material,"Fine Coptic woven linen textile, embroided with stylised Kufic inscription in blue cotton, unsigned, Egypt, 1201-1400","linen - material: Fine Coptic woven linen textile, embroided with stylised Kufic inscription in blue cotton, unsigned, Egypt, 1201-1400",Copt,Egypt,1201-1400,woven linen; cotton,"overall: ht.470 mm x wi. 210 mm, wt. 0.031 kg",Coptic embroided woven linen textile
1986-533,SCM - Textiles Machinery,Knitting machine,Eppinger E4/R knitting machine,Knitting machine: Eppinger E4/R knitting machine,Eppinger (maker),,,,,Eppinger E4/R knitting machine
1986-533/1,SCM - Textiles Machinery,,Machine,: Machine,,,,,"overall: 2630 mm x 1018 mm x 995 mm,",Machine
1986-533/2,SCM - Textiles Machinery,,Blower unit,: Blower unit,,,,,"overall: 568 mm x 422 mm x 410 mm,",Blower unit
1986-533/3,SCM - Textiles Machinery,,Drip tray,: Drip tray,,,,,,Drip tray
1986-533/4,SCM - Textiles Machinery,,Detached items,: Detached items,,,,,"overall: 457 mm x 512 mm x 483 mm,",Detached items
1986-541,SCM - Textiles Machinery,rotor spinning machine,"Sectioned rotor spinning head by Platt Saco Lowell, 1980-1985.","rotor spinning machine: Sectioned rotor spinning head by Platt Saco Lowell, 1980-1985.",Platt Saco Lowell (maker),,1980-1985,steel; aluminium,overall: 370 x 135 x 225 mm,"Sectioned rotor spinning head by Platt Saco Lowell, 1980-198"
1986-571,SCM - Textiles Machinery,power loom,Prototype linear motor shuttle propulsion system 1975,power loom: Prototype linear motor shuttle propulsion system 1975,,,1975,,,Prototype linear motor shuttle propulsion system 1
1986-571/1,SCM - Textiles Machinery,,Prototype shuttle track,: Prototype shuttle track,,,,,,Prototype shuttle track
1986-571/2,SCM - Textiles Machinery,,Two shuttles fitted with steel plates and mounted on a display frame or shuttle cooler rack,: Two shuttles fitted with steel plates and mounted on a display frame or shuttle cooler rack,,,,,,Two shuttles fitted with steel plates and mounted 
1986-571/3,SCM - Textiles Machinery,,"Two proximity probes & leads, for actuating retardation of propulsion system",": Two proximity probes & leads, for actuating retardation of propulsion system",,,,,,"Two proximity probes & leads, for actuating retard"
1986-571/4,SCM - Textiles Machinery,,Control cabinet,: Control cabinet,,,,,,Control cabinet
1986-571/5,SCM - Textiles Machinery,,A.C. current frequency generator (probable description only),: A.C. current frequency generator (probable description only),,,,,,A.C. current frequency generator (probable descrip
1986-571/6,SCM - Textiles Machinery,,3 phase synchronus motor numbered with main object but purpose of motor of this size not understood,: 3 phase synchronus motor numbered with main object but purpose of motor of this size not understood,,,,,,3 phase synchronus motor numbered with main object
1986-637,SCM - Textiles Machinery,rotor spinning machine,"Four unit, demonstration ""Open End"" or ""Rotor"" spinner, 1986; fitted with type 887 MK 2 rotor spinning heads by Platt-Saco-Lowell.","rotor spinning machine: Four unit, demonstration ""Open End"" or ""Rotor"" spinner, 1986; fitted with type 887 MK 2 rotor spinning heads by Platt-Saco-Lowell.",Bradford University Research Ltd.,"Bradford, Bradford, West Yorkshire, England, United Kingdom, West Yorkshire",1986,mild steel; stainless steel,overall: 1.77 x 1.42 x .61 m,"Four unit, demonstration ""Open End"" or ""Rotor"" spi"
1986-1055,SCM - Textiles Machinery,rug knitting aid,"'Jackson' rapid rug knitter, 1930s, used to make a hooked rug.","rug knitting aid: 'Jackson' rapid rug knitter, 1930s, used to make a hooked rug.",Jackson Limited,,1930-1940,softwood; steel,overall: 250 x 92 x 14 mm,Jackson's rapid rug knitter
1986-1132,SCM - Textiles Machinery,spinning wheel,"Scottish wool spinning wheel made by W. Waters of Wick, Scotland.","spinning wheel: Scottish wool spinning wheel made by W. Waters of Wick, Scotland.","Waters, W.","Wick, Highland, Scotland, United Kingdom",,wood,overall: 780 x 850 x 400 mm,Scottish wool spinning wheel made by W. Waters of 
1986-1133,SCM - Textiles Machinery,Spinning wheel,Scandinavian type flax spinning wheel with truncheon-shaped distaff,Spinning wheel: Scandinavian type flax spinning wheel with truncheon-shaped distaff,Unknown maker,Europe,,,,Scandinavian Type Flax Spinning Wheel
1986-1495/1,SCM - Textiles Machinery,embroidery transfer perforator,"Treadle operated embroidery transfer perforator, by L. Prestat, Paris, France, 1931-1940","embroidery transfer perforator: Treadle operated embroidery transfer perforator, by L. Prestat, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,,,"Treadle operated embroidery transfer perforator, 1"
1986-1495/2,SCM - Textiles Machinery,embroidery transfer perforator,"Floral embroidered design sample on blue fabric with sequins, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","embroidery transfer perforator: Floral embroidered design sample on blue fabric with sequins, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,textile,,Floral embroidered design sample on blue fabric with sequins
1986-1495/3,SCM - Textiles Machinery,embroidery transfer perforator,"Scalloped edge floral design on orange fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","embroidery transfer perforator: Scalloped edge floral design on orange fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,textile,,Scalloped edge floral design on orange fabric
1986-1495/4,SCM - Textiles Machinery,embroidery transfer perforator,"Scalloped edge floral design on orange fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","embroidery transfer perforator: Scalloped edge floral design on orange fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,textile,,Scalloped edge floral design on orange fabric
1986-1495/5,SCM - Textiles Machinery,embroidery transfer perforator,"Floral embroidered design on cream fabric with sequins, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","embroidery transfer perforator: Floral embroidered design on cream fabric with sequins, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,textile,,Floral embroidered design on cream fabric with sequins
1986-1495/6,SCM - Textiles Machinery,embroidery transfer perforator,"Floral embroidered design on green fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","embroidery transfer perforator: Floral embroidered design on green fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,textile,,Floral embroidered design on green fabric
1986-1495/7,SCM - Textiles Machinery,embroidery transfer perforator,"Embroidery designs in pencil on transfer paper, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","embroidery transfer perforator: Embroidery designs in pencil on transfer paper, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,paper (fibre product),,Embroidery designs in pencil on transfer paper
1986-1495/8,SCM - Textiles Machinery,embroidery transfer perforator,"Embroidery design on orange fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","embroidery transfer perforator: Embroidery design on orange fabric, associated with a treadle operated embroidery transfer perforator, Paris, France, 1931-1940","Prestat, L.","Paris, Ville de Paris, Œle-de-France, France",1931-1940,textile,,Embroidery design on orange fabric
1986-1535,SCM - Textiles Machinery,distaff-spinning,Replica of floor standing distaff (half full size),distaff-spinning: Replica of floor standing distaff (half full size),Unknown source,,,wood; flax,overall: 980 x 890 mm,Replica of floor standing distaff (half full size)
1987-663,SCM - Textiles Machinery,lock stitch sewing machine,"Electric lock stitch sewing machine, manufactured by the Free Sewing Machine Co., Rockford, Illinois, c. 1929.  Electrified by Westinghouse Corp., serial no. CE14845, and mounted in table cabinet and complete with foot controller","lock stitch sewing machine: Electric lock stitch sewing machine, manufactured by the Free Sewing Machine Co., Rockford, Illinois, c. 1929.  Electrified by Westinghouse Corp., serial no. CE14845, and mounted in table cabinet and complete with foot controller",Free Sewing Machine Company; Westinghouse Electric Corporation,"Rockford, Illinois, United States",1929,wood; veneered wood; cast iron; steel,overall: 1020 x 630 x 450 mm,"Electric lock stitch sewing machine, manufactured by the Fre"
1987-846,SCM - Textiles Machinery,carding,"Carding machine, (upholsterer's) made by A. Saundersons, complete with dust box and extractor fan, serial no. 294, c. 1926","carding: Carding machine, (upholsterer's) made by A. Saundersons, complete with dust box and extractor fan, serial no. 294, c. 1926","Saundersons, A. (maker)",,1926,,,"Carding machine, (upholsterer's) made by A. Saunde"
1987-846/1,SCM - Textiles Machinery,,Carding machine including conveyor & devils,: Carding machine including conveyor & devils,,,,,,Carding machine including conveyor & devils
1987-846/2,SCM - Textiles Machinery,,Carding machine feed table,: Carding machine feed table,,,,,,Carding machine feed table
1987-1004,SCM - Textiles Machinery,automatic controlled sewing machine,"Union special micro-chip controlled sewing machine, 2800 T-1 memory stitching, Lewis, Columbia","automatic controlled sewing machine: Union special micro-chip controlled sewing machine, 2800 T-1 memory stitching, Lewis, Columbia",Union Special Corporation,"Columbia, Howard county, Maryland, United States",,steel casting; painted sheet metal,overall: 1.3 x .7 x 1 m,"Union special micro-chip controlled sewing machine, 2800 T-1"
1987-1039,SCM - Textiles Machinery,automatic controlled sewing machine,"Pfaff type 463-34/01 all-electric lock stitch lightweight sewing unit, complete with micro processor control box by Efka.","automatic controlled sewing machine: Pfaff type 463-34/01 all-electric lock stitch lightweight sewing unit, complete with micro processor control box by Efka.",Efka; Pfaff G.M.B.,Germany,,cast steel; folded sheet metal; melamine plastic,overall: 1600 x 1070 x 660 mm,Pfaff type 463-34/01 all-electric lock stitch ligh
1987-1125,SCM - Textiles Machinery,lock stitch sewing machine,"Domestic lock stitch electric powered Singer sewing machine, model 201K, serial no. EB071649, having a gear driven rotary shuttle, 1937.","lock stitch sewing machine: Domestic lock stitch electric powered Singer sewing machine, model 201K, serial no. EB071649, having a gear driven rotary shuttle, 1937.",Singer Manufacturing Company Ltd.,"Kilbowie, Clydebank, West Dunbartonshire, Scotland, United Kingdom",1937,wood; rexin; cast iron; steel,overall: 370 x 540 x 250 mm,"Domestic lock stitch electric powered Singer sewing machine,"
1987-1156,SCM - Textiles Machinery,lock stitch sewing machine,"Domestic lock stitch sewing machine, treadle powered with table, drawers and wooden lid; a copy of the Singer 'New Family' style, 1900-1910","lock stitch sewing machine: Domestic lock stitch sewing machine, treadle powered with table, drawers and wooden lid; a copy of the Singer 'New Family' style, 1900-1910",Unknown source,,1900-1910,cast iron; veneered wood; steel; gold leaf,overall: 1010 x 860 x 460 mm,"Domestic lock stitch sewing machine, treadle powered with ta"
1992-407,SCM - Textiles Machinery,darning tool,"'Speedweve' Domestic Darner, made by A. Chesstok Ltd., Manchester 14, c. 1950.","darning tool: 'Speedweve' Domestic Darner, made by A. Chesstok Ltd., Manchester 14, c. 1950.",A. Chesstok Ltd.,"Manchester, Manchester urban district, Greater Manchester, England, United Kingdom",c. 1950,wood; steel,,"'Speedweve' Domestic Darner, made by A. Chesstok L"
1992-408,SCM - Textiles Machinery,knitting machine,"Knitmaster Model 4500 Domestic Knitting Machine, 1960-1970","knitting machine: Knitmaster Model 4500 Domestic Knitting Machine, 1960-1970",Silver Reed,"Kingston-upon-Thames, Greater London, England, United Kingdom; Surrey, England, United Kingdom",1960-1970,folded sheet of machined steel; steel,overall: 140 x 1150 x 260 mm,"Knitmaster Model 4500 Domestic Knitting Machine, 1"
1993-99,SCM - Textiles Machinery,sewing,"Industrial sewing machine for leather goods, by Singer, with associated items, made early 20th century","sewing: Industrial sewing machine for leather goods, by Singer, with associated items, made early 20th century",Singer Manufacturing Co. Ltd. (maker),,1901-1930,,,industrial sewing machine
1993-99/1,SCM - Textiles Machinery,sewing,Singer sewing machine model 10-1 Serial No. 8376047 mounted on work bench with leather protector,sewing: Singer sewing machine model 10-1 Serial No. 8376047 mounted on work bench with leather protector,Singer Manufacturing Company,,,,,lock stitch sewing machine
1993-99/2,SCM - Textiles Machinery,,"Lay shaft with two pulleys, 3 bearing blocks, 3 bearing supports",": Lay shaft with two pulleys, 3 bearing blocks, 3 bearing supports",,,,,,"Lay shaft with two pulleys, 3 bearing blocks, 3 be"
1993-99/3,SCM - Textiles Machinery,,Electric 1.hp driving motor 120/240 volts single phase motor,: Electric 1.hp driving motor 120/240 volts single phase motor,,,,,,Electric 1.hp driving motor 120/240 volts single p
1993-99/4,SCM - Textiles Machinery,,Box containg 4 packets of needles; 3 spare bobbin; 3 spanners; 1 pressure foot; 1 pressure plate; unidentified oddments loose; 1 bag of chain & spring probably associated with the brake/clutch control,: Box containg 4 packets of needles; 3 spare bobbin; 3 spanners; 1 pressure foot; 1 pressure plate; unidentified oddments loose; 1 bag of chain & spring probably associated with the brake/clutch control,,,,,,Box containg 4 packets of needles; 3 spare bobbin;
1993-99/5,SCM - Textiles Machinery,sewing machine,Treadle plate to operate clutch & break,sewing machine: Treadle plate to operate clutch & break,Singer Manufacturing Co.,,,cast iron,: .7874 x 14.1732 x 9.4488 in.; 20 x 360 x 240 mm,Treadle plate to operate clutch & break
1993-99/6,SCM - Textiles Machinery,,2 boxes leather thong (threads for Hendry belting),: 2 boxes leather thong (threads for Hendry belting),,,,,,2 boxes leather thong (threads for Hendry belting)
1993-99/7,SCM - Textiles Machinery,,14 number & letter die stamps,: 14 number & letter die stamps,,,,,,14 number & letter die stamps
1993-99/8,SCM - Textiles Machinery,,4 foot shaped hobs & a sole plate,: 4 foot shaped hobs & a sole plate,,,,,,4 foot shaped hobs & a sole plate
1993-99/9,SCM - Textiles Machinery,,18 Leather cutting dies & 2 cutting plates,: 18 Leather cutting dies & 2 cutting plates,,,,,,18 Leather cutting dies & 2 cutting plates
1993-116,SCM - Textiles Machinery,Knitting machine,"Industrial hosiery knitting machine of unknown provenance, early 20th century","Knitting machine: Industrial hosiery knitting machine of unknown provenance, early 20th century",,,1900-1930,,,Industrial hosiery knitting machine of unknown pro
1993-116/1,SCM - Textiles Machinery,knitting machine,Industrial hosiery knitting machine of unknown provenance.,knitting machine: Industrial hosiery knitting machine of unknown provenance.,,,,,"overall: 1920 mm x 1400 mm x 910 mm,",Industrial hosiery knitting machine
1993-116/2,SCM - Textiles Machinery,components,Detached parts : a receiver and 3 bars (2 with pins in),components: Detached parts : a receiver and 3 bars (2 with pins in),,,,,"overall: 310 mm x 1020 mm x 810 mm,",Detached parts : a receiver and 3 bars
1993-116/3,SCM - Textiles Machinery,needle - piercing tool,"A quantity of double-ended bearded needles, a specimen of hose, and a broken screw and another broken screwhead","needle - piercing tool: A quantity of double-ended bearded needles, a specimen of hose, and a broken screw and another broken screwhead",,,,,"overall: 30 mm x 260 mm x 130 mm,",A quantity of double-ended bearded needles
1993-118,SCM - Textiles Machinery,,"Yarn-stretching machine by Sussen, Mid 20th century",": Yarn-stretching machine by Sussen, Mid 20th century",Sussen (maker),,1950-1965,,,"Yarn-stretching machine by Sussen, Mid 20th centur"
1993-190,SCM - Textiles Machinery,silk loom,"Silk or cotton braid making machine/loom, 19th century","silk loom: Silk or cotton braid making machine/loom, 19th century",,,1801-1900,,,"Silk or cotton braid making machine/loom, 19th cen"
